GDP_当期同比增速,GDP_美国当期同比增速,居民消费价格指数(上年同月＝100)_当期,工业生产者出厂价格指数(上年同月＝100)_当期,工业生产者出厂价格指数diff,货币和准货币(M2)_期末同比增速,货币和准货币(M2)_期末同比增速_diff,进口商品价格指数(上年同月＝100)_当期,进口商品价格指数(上年同月＝100)_diff,出口商品价格指数(上年同月＝100)_当期,国房景气指数_当期,社会融资规模增量_当期,社会融资规模增量_当期_lndiff,社会融资规模增量_人民币贷款_当期,社会融资规模增量_人民币贷款_当期lndiff,人民币兑美元期末汇率,进出口总额(美元)_当期同比增速,进出口总额diff,大型商业银行不良贷款率_期末,大商logit,股份制商业银行不良贷款率_期末,股商logit,城市商业银行不良贷款率_期末,城商logit,农村商业银行不良贷款率_期末,农商logit
8.2,-0.6,98.46666667,92.8,-2.6,26.71666667,5.15,81.36666667,-3.06666666,93.03333333,95.75,13826,-0.12778901,9297,-0.49624201,0.15,-22.13333333,2.8,1.99,3.896934876,1.03,4.565257972,1.85,3.971311282,3.2,3.409496184
10.6,1.5,98.73333333,92.3,-0.5,28.75333333,2.03666666,82.53333333,1.16666666,91.5,99.72333333,8969.666667,-0.432702363,4320.666667,-0.766282056,0.15,-16.7,5.43333333,1.86,3.965818543,0.99,4.605271191,1.7,4.057395776,2.97,3.486458256
11.9,4.5,100.6666667,97.93333333,5.63333333,28.97666667,0.22333334,98.3,15.76666667,93.43333333,102.8233333,7862,-0.131807488,3092.666667,-0.334375994,0.15,10.6,27.3,1.8,3.99921955,0.95,4.646918068,1.3,4.329720682,2.76,3.56195147
12.2,1.5,102.2,105.2,7.26666667,24.70666667,-4.27,115.5666667,17.2666667,96.86666667,105.68,15085.66667,0.651704039,8680,1.031987811,0.15,44.13333333,33.53333333,1.59,4.125408409,0.86,4.747355882,1.19,4.419245507,2.47,3.675941872
10.8,3.7,102.94,106.7666667,1.5666667,20.30666667,-4.4,118.6666667,3.1,101.6333333,105.2633333,11973.33333,-0.231063111,6753.333333,-0.250985319,0.15,42.33333333,-1.8,1.46,4.212026121,0.8,4.820281566,1.11,4.489648106,2.34,3.731341129
9.9,3,103.4633333,104.4666667,-2.3,18.59333333,-1.71333334,110.9333333,-7.7333334,105.1333333,104.1166667,9690.666667,-0.211518731,5592.333333,-0.188639598,0.15,30.06666667,-12.26666666,1.35,4.29147364,0.76,4.871978005,1,4.59511985,2.16,3.81322527
9.9,2,104.6933333,105.6666667,1.2,19.49,0.89666667,109.8,-1.1333333,105.7666667,102.8533333,9980.666667,0.029486665,5457.666667,-0.024375264,0.15,27.2,-2.86666667,1.31,4.321956487,0.7,4.954820515,0.91,4.690339208,1.95,3.91764818
10.2,-1,105.0666667,107.0333333,1.3666666,16.5,-2.99,114.6,4.8,109.9666667,102.94,14080,0.344105462,7478,0.314944029,0.15,28.63333333,1.43333333,1.2,4.410776048,0.7,4.954820515,0.9,4.701489957,1.8,3.99921955
10,2.9,105.7333333,106.9,-0.1333333,15.41666667,-1.08333333,115.1,0.5,110.4,102.7133333,11800,-0.176655819,6428.333333,-0.151250074,0.15,22.63333333,-6,1.1,4.498799059,0.6,5.109977737,0.8,4.820281566,1.7,4.057395776
9.4,-0.1,106.2666667,107.1,0.2,13.75,-1.66666667,115.1333333,0.0333333,109.6666667,101.01,6804.333333,-0.550539867,5031,-0.245096531,0.153333333,22.5,-0.13333333,1.1,4.498799059,0.6,5.109977737,0.8,4.820281566,1.6,4.119037175
8.8,4.7,104.6,103.1333333,-3.9666667,13.07,-0.68,111.0666667,-4.0666666,110.0666667,99.67666667,10077.66667,0.392762091,5967.666667,0.170737236,0.16,17.26666667,-5.23333333,1.1,4.498799059,0.6,5.109977737,0.8,4.820281566,1.6,4.119037175
8.1,3.2,103.7633333,100.1333333,-3,12.95333333,-0.11666667,104.1333333,-6.9333334,104.7,97.405,12963,0.251777391,8200.666667,0.317859444,0.16,9.566666667,-7.700000003,1.04,4.555495015,0.63,5.060885717,0.78,4.845800966,1.52,4.171143147
7.7,1.7,102.84,98.60666667,-1.52666663,13.2,0.24666667,99.33333333,-4.79999997,103.5333333,95.07666667,12957,-0.000462963,7982.666667,-0.026942927,0.16,8.6,-0.966666667,1.01,4.585068504,0.65,5.029431885,0.82,4.79538732,1.57,4.138270016
7.5,0.5,101.9133333,96.7,-1.90666667,14.06666667,0.86666667,96.76666667,-2.56666666,100.4666667,94.53333333,13153,0.015013687,6222,-0.249181126,0.16,3.066666667,-5.533333333,1,4.59511985,0.7,4.954820515,0.85,4.759152784,1.65,4.087757257
8.1,0.5,102.0866667,97.7,1,13.95,-0.11666667,97.7,0.93333333,100.2,95.28666667,13471,0.023889357,4940,-0.230726067,0.16,6.3,3.233333333,0.99,4.605271191,0.72,4.926448208,0.81,4.807758234,1.76,4.022099655
7.9,3.6,102.43,98.27,0.57,15.58333333,1.63333333,98.2,0.5,99.86666667,97.74,20551.33333,0.422386594,9182,0.619879715,0.16,13.26666667,6.96666667,0.98,4.615524557,0.77,4.858805152,0.83,4.783165127,1.73,4.039597384
7.6,0.5,102.3866667,97.27,-1,15.28333333,-0.3,97.06666667,-1.13333333,99.43333333,97.3,13291.66667,-0.435788548,7748.333333,-0.169767279,0.16,4.7,-8.56666667,0.97,4.625882042,0.8,4.820281566,0.86,4.747355882,1.63,4.100155865
7.9,3.2,102.7633333,98.25666667,0.98666667,14.46666667,-0.81666666,98.86666667,1.8,98.76666667,97.31,12717.33333,-0.044171381,7331.666667,-0.0552749,0.16,6.066666667,1.366666667,0.98,4.615524557,0.83,4.783165127,0.87,4.735694187,1.62,4.106411382
7.7,3.2,102.91,98.57,0.31333333,14.03666667,-0.43,98.5,-0.36666667,99.33333333,96.82333333,11162.33333,-0.130420877,5376.666667,-0.310134263,0.16,7.333333333,1.266666666,1,4.59511985,0.86,4.747355882,0.88,4.724164609,1.67,4.075505542
7.5,-1.1,102.2733333,98.02666667,-0.54333333,12.87333333,-1.16333334,94.86666667,-3.63333333,98.16666667,96.655,18769.4,0.519682869,10045.18,0.625024314,0.16,-1.3,-8.633333333,1.03,4.565257972,0.92,4.679309214,0.94,4.657601131,1.68,4.069433672
7.6,5.5,102.2066667,98.48,0.45333333,13.79,0.91666667,98.86666667,4,98,95.21666667,16315.29667,-0.14012477,9082.293333,-0.100766187,0.16,3.333333333,4.633333333,1.05,4.545824508,1,4.59511985,0.99,4.605271191,1.72,4.045496257
7.2,5,101.97,98.71,0.23,13.08666667,-0.70333333,98.33333333,-0.53333334,100.6,94.77666667,7889.486667,-0.726572042,6483.12,-0.337124854,0.16,7.333333333,4,1.12,4.480578308,1.09,4.50803265,1.11,4.489648106,1.86,3.965818543
7.3,2.3,101.5166667,97.25,-1.46,12.34,-0.74666667,94.5,-3.83333333,100.5333333,94.33,11737,0.397215174,6994.333333,0.075898421,0.16,3.966666667,-3.366666666,1.23,4.385779746,1.12,4.480578308,1.16,4.445082376,1.87,3.960354699
7.1,3.2,101.19,95.44,-1.81,11.63333333,-0.70666667,90.2,-4.3,98.93333333,93.44,15479.84,0.276792287,12021.57333,0.541602516,0.16,-4.666666667,-8.633333334,1.38,4.269190582,1.25,4.369447852,1.29,4.33754404,2.03,3.876625516
7.1,3,101.3766667,95.33666667,-0.10333333,10.88,-0.75333333,88.36666667,-1.83333333,98.9,92.54,13750.86667,-0.11843668,9931.6,-0.19098122,0.16,-7.666666667,-3,1.48,4.198217485,1.35,4.29147364,1.37,4.276564735,2.2,3.794467217
7,1.3,101.7366667,94.25666667,-1.08,13.25,2.37,86.76666667,-1.6,98.96666667,93.29666667,10521.63333,-0.267668398,8021.21,-0.21363231,0.16,-9.8,-2.133333333,1.54,4.157867958,1.49,4.191381946,1.44,4.226022386,2.35,3.726974329
6.9,0.1,101.4666667,94.10666667,-0.15,13.50333333,0.25333333,88.46666667,1.7,99.8,93.34333333,11321.03333,0.073228897,7589.913333,-0.055269111,0.156666667,-8.033333333,1.766666667,1.66,4.08161326,1.53,4.164484198,1.4,4.254599025,2.48,3.671798925
6.9,2,102.11,95.16666667,1.06,13.55666667,0.05333334,88.6,0.13333333,96.38333333,99.735,22333.44,0.679422755,15550.35667,0.717263403,0.15,-13.26666667,-5.233333337,1.72,4.045496257,1.61,4.112704994,1.46,4.212026121,2.56,3.639229545
6.8,1.9,102.0833333,97.07333333,1.90666666,12.14333333,-1.41333334,95.96333333,7.36333333,97.26,100.7,10352.73,-0.768834854,9385.81,-0.504884601,0.15,-6.666666667,6.600000003,1.69,4.063397222,1.63,4.100155865,1.49,4.191381946,2.62,3.615446533
6.8,2.2,101.6766667,99.2,2.12666667,11.02333333,-1.12,99.1,3.13666667,98.05666667,100.44,12170.35667,0.161752961,8382.493333,-0.11305357,0.15,-5.833333333,0.833333334,1.67,4.075505542,1.67,4.075505542,1.51,4.177845369,2.74,3.569429885
6.9,2,102.1433333,103.3333333,4.1333333,11.45333333,0.43,104.3633333,5.2633333,99.55333333,100.8733333,14484.18333,0.174054035,8138.793333,-0.029503474,0.146666667,-2.066666667,3.766666666,1.68,4.069433672,1.74,4.033731914,1.48,4.198217485,2.49,3.667672226
7,2.3,101.4233333,107.4333333,4.1,10.4,-1.05333333,113.42,9.0566667,105.0966667,100.89,24749.01333,0.535728374,15012.07667,0.612213059,0.146666667,14.56666667,16.63333334,1.64,4.093937976,1.74,4.033731914,1.5,4.18459144,2.55,3.643246067
7,2.2,101.3966667,105.8,-1.6333333,9.333333333,-1.066666667,110.72,-2.7,106.1733333,101.26,21085.52,-0.160199074,12353.46667,-0.194918263,0.15,10.7,-3.86666667,1.6,4.119037175,1.73,4.039597384,1.51,4.177845369,2.81,3.543483342
6.9,3.2,101.6033333,106.2333333,0.4333333,8.896666667,-0.436666666,107.3533333,-3.3666667,103.21,101.4266667,22370.74333,0.059167455,10834.18333,-0.131230467,0.15,9.866666667,-0.833333333,1.54,4.157867958,1.76,4.022099655,1.51,4.177845369,2.95,3.493421139
6.8,3.5,101.8166667,105.8666667,-0.3666666,8.713333333,-0.183333334,105.7666667,-1.5866666,101.9566667,101.6133333,18973.33667,-0.164719343,7944.4,-0.310238981,0.15,11,1.133333333,1.53,4.164484198,1.71,4.051428922,1.52,4.171143147,3.16,3.422488104
6.9,2.5,102.1433333,103.7,-2.1666667,8.526666667,-0.186666666,101.6166667,-4.15,100.6,101.58,20191.03,0.062203786,16158.10333,0.7099544,0.16,17.2,6.2,1.5,4.18459144,1.7,4.057395776,1.53,4.164484198,3.26,3.390299772
6.9,3.5,101.8,104.0666667,0.3666667,8.196666667,-0.33,102.3,0.6833333,100.4,101.5433333,17949.84,-0.117657245,13056.95667,-0.213100608,0.156666667,15.6,-1.6,1.48,4.198217485,1.69,4.063397222,1.57,4.138270016,4.29,3.105036053
6.7,2.9,102.2766667,104.1,0.0333333,8.35,0.153333333,107.8666667,5.5666667,104.0333333,101.95,21840.48,0.196183927,13447.38333,0.029463469,0.15,15.63333333,0.03333333,1.47,4.20509867,1.7,4.057395776,1.67,4.075505542,4.23,3.11974749
6.5,1.1,102.1933333,102.3,-1.8,8.026666667,-0.323333333,111.4333333,3.5666666,107.4,101.9033333,14992.04667,-0.37624529,9575.023333,-0.339626567,0.143333333,4.866666667,-10.76666666,1.41,4.247380132,1.71,4.051428922,1.79,4.004892423,3.96,3.188520746
6.3,3.1,101.8366667,100.2,-2.1,8.333333333,0.306666666,103.6,-7.8333333,105,100.675,28686.20333,0.648896448,20964.46667,0.783670969,0.15,-1.9,-6.766666667,1.32,4.314250555,1.71,4.051428922,1.88,3.954919443,4.05,3.165110341
6,2,102.6533333,100.5,0.3,8.5,0.166666667,105.2666667,1.6666667,104.1333333,100.8866667,20025.52333,-0.359408661,12441.73,-0.521772796,0.146666667,-2.2,-0.3,1.26,4.361378412,1.67,4.075505542,2.3,3.748992436,3.95,3.19115331
5.9,2.1,102.88,99.23333333,-1.26666667,8.233333333,-0.266666667,100.7,-4.5666667,102.9333333,100.9733333,19990.03,-0.001773977,12914.56333,0.03729947,0.143333333,-3.033333333,-0.833333333,1.32,4.314250555,1.63,4.100155865,2.48,3.671798925,4,3.17805383
5.8,2.1,104.2366667,98.83333333,-0.4,8.426666667,0.193333334,96.8,-3.9,100.3666667,101.1433333,16876.54333,-0.16930896,9957.543333,-0.260025227,0.14,2.633333333,5.666666666,1.38,4.269190582,1.64,4.093937976,2.32,3.740129644,3.9,3.204412763
-6.8,-5,104.94,99.4,0.56666667,9.106666667,0.68,97.4,0.6,101.2,97.785,37036.65,0.785983274,24172.32,0.886877789,0.143333333,-9.433333333,-12.06666667,1.39,4.261868929,1.64,4.093937976,2.45,3.684277043,4.09,3.154865282
3.2,-31.4,102.7366667,96.73333333,-2.66666667,11.08333333,1.976666663,92.23333333,-5.16666667,106.8,99.35333333,32524.72667,-0.129907342,16923.43,-0.356509125,0.14,-4.533333333,4.9,1.45,4.219000477,1.63,4.100155865,2.3,3.748992436,4.22,3.122218767
4.9,33.4,102.26,97.83333333,1.1,10.66666667,-0.41666666,95.56666667,3.33333334,100.6,100.2833333,29158,-0.109271303,14531.17333,-0.152402826,0.146666667,5.966666667,10.5,1.5,4.18459144,1.63,4.100155865,2.28,3.757930803,4.17,3.134659753
6.5,4.3,100.0666667,98.66666667,0.83333334,10.43333333,-0.23333334,95,-0.56666667,99.4,100.6033333,17253.33333,-0.524723956,11143.33333,-0.265454815,0.15,11.3,5.333333333,1.52,4.171143147,1.5,4.18459144,1.81,3.993577532,3.88,3.209762257
